Record No.,Inventory No.,Archive Name,Archive Call Number,Archive Type,Date of Appraisal,Owner Last Name,Inv. City,Inv. Count,Inv. Country,Art Value,Inv. Value,Owner Life Dates,Marriage Date,Ceremony,Additional Names,Owner Full Name,Notary,Occupation,Purpose,Religion,Residence,Biographical Notes,Intro Text,
2,102,Gemeentearchief Amsterdam,NA 2409,,1669/08/27,Bosch,Amsterdam,74,Nederland,,,?  |d 1669/08/16  |n Bosch,,,and her widower Hendrick Balthe,"Bosch, Catharina van den",Winter,Services |a Innkeeper,death inventory,,Op de Geldersche kaij bij de Waterpoortsburg in Amsterdam,"The innkeeper Hendrick Balthe survived his wife Catharina van den Bos. She had a child from a previous marriage named Maria Jacobs Owertheijn and a child with Balthe named Hendrick Balthe. The inventory included all the goods the couple had acquired during their marriage. On 20 August 1669, Katarina van den Bos, the wife of Hendrick van Balte, living on the Gelderse Kay, was buried in the O.K. A sum of 15 f. was paid to the Church  (DTB 1047/173).",Inventaris van allen den goederen actien en crediten mitsgaders lasten en schulden soo en sulcx als de selve by wijlen Catharina van den Bosch ende Hendrick Balthe herbergier echte luyden staende huwelijck int gemeen beseten ende by de selve Catharina van den Bosch op den xvi august anno 1669 overleden metter doot sijn ontruijmt. Gemaeckt by my notaris ....op't aengeven van de voorn. Hendrick Balthe ter presentie ende versoeck van Sr. Albrecht de Homme(?) als by de Ed. heeren weesmeesteren gecommitteert omme 't recht van Maria Jacobs Owertheijn out over de 23 jaren een voordochter van der voorn. Catharina van den Bosch waer te nemen ende sijnde by de selve Catharina van den Bosch mede nagelaten een nasoon by voors. Hendrick Balthe geprocreert genaemt Cornelis Balthe out omtrent xx jaren sijnde jegenwoordigh uijtstandigh. Postscript: Aldus geinventariseert in den sterfhuijs van de voornt. Catharina van den Bosch gestaen op de Geldersche kaij by de Waterpoortsburg daer jegenwoordigh de witte engel ende de goude leeuw uijthangt binnen deser stede Amsterdam desen xxvii ende xxviii ende xxix en augusten 1669,
3,103,Gemeentearchief Amsterdam,NA 2409,Notarial,1669/10/17,Reijniers,Amsterdam,77,Nederland,,,?  |d  1669/10/11,1652/01/18,K (Reformed Church),widow of Coenraedt van Coblens,"Reijniers, Engeltje",Jacob de Winter,,Death inventory,Calvinist,Opte binne kant vant Waels Eijlandt in Amsterdam,"On Engeltje Reyniers and Coenraedt van Coblens, see also INVNO 438. Abraham Sadelaer de oude, cited in the INTRO, is likely, by this date, may have been Abraham Pietersz. Sadelaer, the nephew of Abraham de Sadelaer I of R 21507 of Montias2. The predikant in Beemster Abrahamus de Sadelaer may be identical with Abraham de Sadelaer II, cited in the TEXT of R 1079.","Inventaris van allen den goederen actien gerechticheden mitsgaders lasten ende schulden soo ende sulcx die by Juff. Engeltje Reijniers weduwe ende boedelhouster van wijlen Coenraedt van Coblens op den elfden October xvi negen en sestigh binnen deser stede Amsterdam overleden metter doot sijn ontruijmt . Gemaeckt by mij...Notaris... opt aengeven en versoecke van de eer. Dr. Abrahamus de Sadelaer bedienaer des godelikcken woords in de Beemster ende Abraham de Sadelaer de oude ende David Verbrugge testamentaire voochden (binnen de weeskamer) over Anthonij out omtrent [?] jaren, Bartha out 12 jaren, ende Coenraet out seven jaren, alle drie kinderen ende eenige erffgenamen van de voorn. Coenraet Coblens end Engeltje Reijniers in haer leven echteluijden. Postscriptum: Actum Amstelredamme in den sterfhuijse van de voorn. Engeltje Reijniers gestaen opte binne kant vant Waels Eijlandt desen 17 ende 18-en ende 22-e October 1669",
4,104,Gemeentearchief Amsterdam,2409,,1666/09/25,Ellegoot,Amsterdam,56,Nederland,,,?-1666/08/04,1651/01/28,Reformed church,widow of Paulus Emtinck de Jonge,"Ellegoot, Hester Jans",Winter,,death inventory,probably Reformed/Calvinist,op de zuidhoeck van de Beulingstraet binnen Amsterdam,"Paulus Emtinck de oude, the father of Paulus Emtinck de jonge of this inventory, was a wax bleacher and merchant of South Netherlandish origin.  He was betrothed to Cornelia Laurens, the daughter of Guilliam Louris on 21 October 1616 (DTB 421/1). On 29 September 1628, Paulus Emptinck (I), wax bleacher, declared at the request of Daniel Godijn, merchant, that he had delivered to Godijn four cases of white wax, who had said to him that the wax was not white enough. Emptinck had taken back the four cases, intending to replace them from a whiter batch (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P.  78(1933), p. 660). Poulus Emtingh I  paid a tax of 100 f. in 1631. Another 100 f. were paid for the inheritance from his father in law Guilliaem Louris (Kohier, fol. 256, p. 59). After the death of Cornelia, he was again betrothed on 3 November 1645 with Elisabeth Lenaerts, widow of Egbert Willemsz. (DTB 462/380. On 29 February 1636 (a leap year), he signed a compromise with Cornelis Nason (of INVNO 242) concerning the accounting for a venture (NA 695A, film 4981, Not. J. Warnaerts).  On 20 November 1636, a felpmacker (a maker of long-piled velvet)  declared at the request of Paulus Emtingh I, merchant in Amsterdam, that he had made many felpen (velvets) for the petitioner and his son Guilliam over the years and that he had recently made four pieces of velvet which he had packed to send to a merchant in Antwerp (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven, R.G.P. 144(1974), p. 134). His son Guilliam was mentioned in the deposition. Paulus Emtingh de jonge of the present inventory  was presumably another son of Paulus Emtingh de oude.  Two men named Paulus Emtingh, both with their own grave, were buried in the Zuide Kerck in  1654 (one on 25 March, the other on 24 September). One of them was surely Paulus Emtingh de oude. In any case, the INTRO above makes clear that Paulus Emtingh de jonge died after 28 November 1663 when he passed his testament with Hester Ellegoot. She died on 4 August 1666 and was buried on 7 August (DTB 1091/95vo). Among the heirs listed in the INTRO: Emanuel (brother of Hester Jans Ellegoet), Pieter Graeff, droost, married to Diana Ellegoet (sister of Hester), and Cornelia Wabbes, married to Salomon Ellegoet (another brother of Hester). A note on fol. 13vo of the same inventory lists the goods and financial means of the late Paulus Emtinck den ouden drawn up on 17 November 1654 before Notary David Doornick. The inventory contained no works of art. Also listed among the present papers was  a testament of the late Magdalena Emtinck, older spinster, drawn up on 17 August 1660 before notary Mattheus Abbas.","Inventaris van allen de goederen actien crediten mitsgaders schulden ende lasten soo ende sulcx de selve by wijlen Juffr. Hester Jans Ellegoot weduwe ende geconstitueerde erffgenaem van wijlen Paulus Emtinck de Jonge (na luijt haerluyden initiele testamentaire dispositie op den 28en november 1663 voor mij notaris  ende secker getugen gepasseert) op den vierden augusty 1666 binnen dese stede Amsterdam overleden metter dood ontruijmt . Gemaeckt by mij notaris ... ten versoeck ende opt aengeven Emanuel Ellegoet, droost Pieter Graeff ende deselfs huijsvrouw Diana Ellegoot mitsgaders van Cornelia Wabbes huijsvrouw van Salomon Ellegoot broeder swager suster ende swagerinne respective van de voorn. Hester Jans Ellegoot. Postscript: Aldus geinventariseert ... in den sterfhuijs van de voorn. Hester Jans Ellegoot weduwe van Paulus Emtinck de Jonge, gestaen op de hoeck van de Beulingstraet binnen deser stede Amsterdam desen xxii, xxiii, xxiiii, ende xxv en september 1666",
5,105,Gemeentearchief Amsterdam,"NA 2409, fol. 67-92, film nr. 2550",Notarial,1667/03/01,Felten,Amsterdam,71,Nederland,,,? |d 1666/10/24,,,widow of Jan Willemsz. Fonteijn,"Felten, Jannetge",Winter,,death inventory,Roman Catholic,Amsterdam,"Jan Willemsz. Fonteyn was an apothecary. On 17 February 1640, Jan Willemsz. Fonteijn and Hendrick IJsbrantsz. de Bruyn appeared before the Orphan Chamber as guardians over Aeltgen, age 18, the daughter left by Adriaen Fransz. Bancken, lumber dealer, and by her late mother Maria Pieters. Various sums inherited by the young girl were handed over to Aeltge Adriaens and Joost van den Vondel (the poet and playwright) on 17 November 1643 (J.G. Kam in Maandblad Amstelodamum 48(1961), p. 28). Various altar goods listed in the inventory testify to the R.C. allegiance of the couple. Claes or Nicolaes Felten, cited in the INTRO, was the husband of Stijntje Schonemans, the sister of Maritge Schonemans of INVNO 192 (also R.C.) Maria and Claes Felten were the niece and nephew of the late Jannetge Felten (their motje).  Hendrick IJsbrantsz. de Bruyn (1610-1664), also cited in the INTRO, was the grandson of Joost van den Vondel. He married Margrita Michiels Krael, daughter of Michiel Krael (of R 32651) on 24 May 1647 (DTB 679/90).","Inventaris van alle de goederen actien ende crediten mitsgaders lasten ende schulden soo ende sulcx d'selve by wijlen Jannetge Felten weduwe van Jan Willemsz. Fonteijn in sijn leven apotheker op de vier ende twintich october 1666 binnen deser stadt Amsterdam overleden, metter doot sijn ontruijmt. Gemaeckt by my notaris...op't aengeven van Sr. Pieter van de Merwe als getrout hebbende Maria Felten ende Niclaes Felten beneffens Coenraedt Felt (out omtrent 24 jaren) eenige erfgenamen ab intestato van de voorn. Jannetge Felten heuren motje. Postcript: Aldus geinventariseert op't aengeven [etc...] Actum in Amsterdam ten huyse van de voors. Pieter van de Merwe desen eesten ende derden martio ende fijftiende october respective des jaer 1667 ende gesloten den elven junij 1668.",
6,106,Gemeentearchief Amsterdam,"NA 2409, fol. 107-138,. film  2251",Notarial,1668/11/22,Valckman,Amsterdam,37,Nederland,,,?  |d 1668/11/17  |n Egberts,1622/07/08,K (Reformed Church),and his widow Rensje Egberts,"Valckman, Jacob",Winter,"Services |a Broker, factor",death inventory,Calvinist,Prinsengracht bij de Prinsensluis in Amsterdam,"Jacobus Valkkeman was betrothed to Maritje Jans on 28 January 1621 (DTB 425/213). On 8 July 1622, Jaques Valckeman, widower of Maritje Jans, was betrothed to Reijntje Egberts (DTB 427/90). According to the INTRO, Valckman was a broker.","Inventaris van alle de goederen actien ende crediten lasten schulden soo ende sulcx by wijlen Jacob Valckman maeckelaer ende Rensje Egberts in hun leven echteluyden int gemeen sijnde beseten ende laest by de voorn. Rensje Egberts op den 17 Novembris 1668 binnen dese stede Amsterdam overleden (die selve uijt kraechte van haer mans testament hadde beseten) metter doot sijn ontruijmt. Gemaeckt by mij notaris ... binnen der selven stede residerende opt aengeven ende versoecke van d'E. Balthasar Verbeeck, als getrout hebbende Barbertje Last,  ende de E. Cornelis van der Veer apotheker als te [huwelijck?] hebbende Sijtje Blocx beijde geinstitueerde erffgenamen van der voornoemde Rensje Egberts.",
7,107,Gemeentearchief Amsterdam,"1996B, fol. 968-972, film 2162",Notarial,1664/05/16,Hommess,Amsterdam,29,Nederland,80 |d  10 stuivers,774 |d ,?  |d  1687/01/18,1633/04/16,Pui,widower of Annetge Cornelis,"Hommess, Hendrijck","Loosdrecht, Jacob van",,Inventory of goods sold by father to son.,,Amsterdam,"On 16 April 1633, Heyndrik Hommess, widower of Teuntje Baerents, was betrothed to Hannetje Cornelis van Remouls  (DTB 765/24). The goods in this inventory were pledged to Hommes's son Cornelis van Nes as security for a loan in part for house rent. On 11 February 1638, an interrogatoire of  Hendrick Hommesen was carried out at the request of Laurens Coesaert (probably III, son of II of R 33388). Isaack van Geleyn (probably the father of Geleyn Isaacksz. cited in the NOTES to R 30817) actually answered the questions. Had he not been in the company of Hendrick Homessen and of the broker Jan Vitus (the former husband of the owner of INVNO 426)? Hadn't they showed the accounting books etc..(NA 1466, film 1556). Hendrick Hommess, who may be identical with the owner of these goods, was buried in the N.K.  on 18 January 1687 (DTB 1056/321).",Hendrijck Hommess weduwenaer ende boedelhouder van wijlen Annetge Cornelis heeft vercocht ende Cornelis van Nes sijn soon heeft van de selve gecocht alle de inboel ende huijsraet die hij Hendric Hommess heeft [naergelaten]  ende hiervoren van stuc tot stuc gespecificeert ende door Commeryntje Cornelis gesworen schatser gepriseert 774 car. gulden  te betalen als volcht namentlyck 170 voorde huijsjuijr 400 gulden contant ende de resterende 204 gulden over drie maenden naer dato. Bekende de voorts. Henric Hommess de gemelte 400 gulden ontfangen te hebben uyt handen van de gemelde sijn soon . In contante gelden d'selve voor so vele quiterende. Gaff hij aen de selve over alle de gemelde meuble goederen hier voren gespecificeert etc...Gedaen binnen Amsterdam ende gepasseert voor mij Jacob van Loosdrecht openbaer notaris den 16en may 1664,
8,108,Gemeentearchief Amsterdam,"1996B, fol. 1029-1038, film 2162",Notarial,1665/04/19,Uyen,Amsterdam,19,Nederland,413 |d ,,?  |d 1665  |n Jacobs,1661/12/08,Pui,wife of Frans Joosten de Vries,"Uyen,  Sijtje Jacobs","Loosdrecht, Jacob van",Merchant (largescale),death inventory (appraisal),,Op de Singel bij de Lijnbaansbrug in Amsterdam,"On 8 December 1661, Frans Joosten de Vries, from Amsterdam, merchant, 26 years old, assisted by his mother Maria de Wolf, living on the Cingel, was betrothed to Sijtge Jacobs Uijen, 28, assisted by her aunt Tytie Fransen de Vries, living on the Blauwe Burchwal (DTB 685/118). Frans Joosten was probably the son of the merchant Joost Fransen de Vries, who along with his brother Jacob Fransen den Vries and several other merchants made a request to the Vroedschap in 1640 (exact date unknown) to increase the number of ligters (small boats used to unload cargo from larger boats). The petition was also signed by Jacob Adryaensz. Uyen, who was probably the father of Sijtie Jacobs Uyen, the owner of the goods in the present inventory (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P. 144(1974), pp. 282-3). Jacob Fransen de Vries and Jacob Adriaensz. Uyen also signed the 1645 petition calling for the enforcement of currency regulations issued in 1622 (Van Dillen, Wisselbanken R.G.P.  59(1625), pp. 88-9). Tytie Fransen de Vries was the sister of Joost and Jacob Fransen de Vries.","Inventaris van de meuble goederen achtergelaten by wijlen Sytje Jacobs Uyen huijsvrouw van Frans Joosten de Vries alhier tot Amsterdam op de Singel bij de Lijnbaansbrug overleden. Gedaen maecken bij Frans Jacobsz. de Vries , Jacob Linnich de Jonge, Syvert Jelmesz. van der Schelling by de h-en weesmeesteren deser stadt gestelde voogden over het kint by de selve Sytje Jacobs naergelaten omme overgelevert te werden aen de h-en weesmeesteren deser stadt ende sijn de selve goederen in eenich wegen by Susanneken Anthonis ende Grietge Arents gesworen schatsers gepriseert in gereet gelt waerdich te wesen soo nevens yder van dien uytgetrocken staet. A note in the inventory indicates that Teunis Albertsz., konstverkoper estimated the paintings. Postscript: Aldus gedaen binnen Amsterdam desen 19en Aprilis 1665.",Teunis Albertsz. art dealer
9,109,Gemeentearchief Amsterdam,1997,,1669/12/09,Steenkist,Amsterdam,55,Nederland,802 |d ,,?  |d 1669,,,widow of Lucas van Beeck,"Steenkist, Christina van",J. van Loosdrecht,Merchant (large scale),death inventory for division by lots,,Amsterdam,"Christina van Steenkiste, the wife of Lucas van Beeck, was the daughter of Pieter van Steenkiste, from Meenen (c.1560-1630) and of Janneken de Caerle, from Ypres (who died in Haarlem in 1642). The family of Van Steenkiste was from Haarlem, that of her husband  from Amsterdam.  Her sister Maijcken was married to Hendrick van Beeck, the brother of Lucas van Beeck. Her other sister Catalijntge was married to Jan van Beeck. The biographical information on the Steenkiste and Van Beeck families, as well as the inventories of Maijcken van Beeck and Christina van Beeck (in her domain near Haarlem), are drawn from Pieter Biesboer (Netherlandish Inventories I, Collections of Paintings in Haarlem 1572-1645, The Provenance Index of The Getty Research Institute, 2001, pp. 216-7). Lucas van Beeck (Emmerich 1602-Amsterdam 1652), a merchant, was in business with Lucas de Clercq (Haarlem 1603-Haarlem 1652), who in turn was married to Feijntje van Steenkiste (Haarlem c.1603-Haarlem 1640).  Van Beeck and De Clercq jointly owned the manor (hoofstede)  Clercq en Beeck in Bloemendael  near Haarlem. According to Biesboer (op.cit., p.63), Lucas de Clercq was the brother of Jacques de Clercq (probably of R 20311 of Montias2). Lucas de Clercq seems to have married three times. He was portrayed, probably by Pieter de Grebber, with his second wife Adriaantje de Keyser whom he married on 6 October 1645, shortly after his marriage (Blankert, Historisch Museum, p. 127). Feijntje van Steenkiste was presumably his third wife.  Lucas van Beeck and Christina van Steenkiste lived most of the year in their town house in Amsterdam.  After Christina's death, an inventory of the Haarlem hoofstede was taken by a Haarlem notary on 24 November 1669 (a few days before the present inventory). It contained a painting by Van Campen (een luijtslager, estimated 10 f.); Goltzius (een stuck van Mercurius ende Venus estimated 30 f.); a dark moonshine by Aert van der Neer, estimated 10 f.; a landscape by Evert Marseus van Schriek, estimated 4 f.; a trony by Reyer Jacobsz., estimated 1.25 f.; two paintings by Herman Hals, estimated 4.5 f.; a Bassiba by Reyer (Jacobsz.), estimated 4 f.; and a painting by Wouwerman, estimated 5 f., to list only the attributed paintings (Biesboer, loc.cit. p. 217). Lucas or Luycas Hendricksz. van Beeck, who may or may not been identical with Christina's late husband, was married (formerly?) to Aeltje Egberts. His inventory of 1654, qua kamenmaker, is mentioned in Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P. 144(1974), p. 617.",Inventaris van alle de goederen imboel huijsraet achtergelaten ende metter doot ontruijmt bij wylen Christina van Steenkist weduwe van Sr. Lucas van Beeck in sijn leven coopman tot Amsterdam alwaer sij overleden is. Gedaen maecken by de mondige erffgenamen aen handen van den voochden van de onmondige omme daer op in loten gestelt ende terdeelt te werden ende alsoo te strecken naer behoeren ende sijn de meuble goederen door een uijtdraegster gepriseert in gerede gelde waerdich te sijn soo nevens yder van dien uijtgetrocken staet.,
10,110,,1811B Fol.963-995      film 2078,Notarial,1642/07/20,Hoorn,Amsterdam,111,Nederland,1031 |t gulden and 10 st.,,? |d 1642/07/20,1633/01/15,Pui,"late husband of Sofia van den Braende (Bremde), earlier widower of Margrita van der Poort","Hoorn, Jacques van","Eggericx, Albert",Merchant (largescale),death inventory,Reformed/Calvinist,Amsterdam,"On 2 September 1621, Jacques van Hoorn and Margriet van der Voort (Poort?) had their son baptized in the O.K. in the presence of Machtelt de Bye and Guilliam van Hoorn (Jacques's brother) (DTB 5/362). On 15 January 1633, Jacques van Hoorn, from Antwerp, widower of Margriete van der Poort, living on the N.Z. Voorburgwal, was betrothed to Sophie van de Brando (Branden), from Vlissinge near Middelburgh (DTB 765/18). On 27 January 1629, the honorable signors Jacques and Guillaume van Horne (Hoorn), brothers, on one side, and Guillaume van Scharenburch, on the other, signed a contract to set up a company for dealing in silk. Jacques and Guillaume undertook to supply 10,000 f., Van Scharenburch, 5,400 f. Van Scharenburch was expected to keep store and trade in silk in his name alone without using the names of his partners. To this end, they undertook to lease  the house of Dirck Hem in the Pijlsteeg (which they had already done). The contract was slated to expire in 1633 (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P. 78(1933), pp. 670-2). Dirck Hem died before March 1637 (exact date unknown) whem Abraham Anthonisz., sollicitor (of R 2033 of Montias2),  was named in a procuration by Jonckgesel Ernst van Reede, heer van de Vryes, to collect assets from the heirs of Dirck Hem (NA 952, Not. B. Baddel).  By 5 September 1637, Hans van (der) Put and Jeronimus Heesters had been named guardians of the bankrupt estate of Dirck Hem (NA 598, Not. Lamberti, fol. 322).  On 26 February 1636, Abraham Doreneux (Doremieux), sworn broker, gave a deposition at the request of Jacques and Guillaume van Hoorne, merchants, in which he declared that they had sold to Jean Minuict a bag of silk for 37 schellingen per pound, to pay in 9 months. Some time later Minuict found that he could not sell the silk (NA 411, fol. 73, Not. Jacob Jacobsz.) On 15 January 1636, Jean de Ligne, 37, caffa worker, declared at the request of Jacques and Guillaume van Hoorne, merchants, that he had entered into a contract with Abraham de Ligne de oude (of R 21482) for the creation of a company to produce caffa cloth. Abraham de Ligne undertook to hold the books and finance the operation; Jean de Ligne would produce the cloth. Jean had bought, on order of Abraham de Ligne, three lots of silk, which he had then processed for the account of the company. He swore he had not bought silk from any one else, except one lot from Andries Quast, silk spinner (NA 413A, fol. 51, Not. Nicolaes Jacobsz.) In an insinuatie dated 11 February 1638, the brothers Jacques and Guilliam van Hoorn, together with Pieter Cruypenning (on whom see R 941 of Montias1), protested the failure of the merchant Jan Butler to pay a debt (NA 417, film 6434, Not. Jacob Jacobsz.) On 4 February 1639, Jacques van Hoorn and Sophia van den Brande named Daniel van den Branden in Vlissingen in Zeeland to act in their name regarding the inheritance left by the late Jacob van den Brande (NA 419A, fol. 149).  In another insinuation, dated 24 March 1640, Jacques van Hoorn, director of the W.I.C., claimed that the late  Urseltge van Essen, the former wife of Arent Bosman (wine dealer), had specified in her testament that he, Jacques van Hoorn, would be one of the executors of her testament, along with Jacob Bosman, the son of Arent Bosman (NA 421, fol. 254, Not. Jacob Jacobsz., film 6438.) For the testament of Arent Bosman and Urseltge van Essen, see NA 413A of 30 January 1636.  Urseltge van Essen was the sister of the painter Hans van Essen, of R 24928 of Montias2. On 25 July 1626, the Orphan Chamber had  named Pieter Hermansz., wine dealer, along with Arent Bosman, as guardian  over the son of Pieter Hermansz. (WK 5073/513, fol. 46vo.)  On 14 February 1650, Lucretia Coymans (of INVNO 1040), widow and estate holder of Pieter Cruypenninck, acknowledged having received to her contentement all the books, charters, and papers out of the hands of Sr. Guilliam van Hooren which she had placed in his hands (NA 1818, Not. Eggericx). Jacques van Hoorn and Sophia van den Bremde apparently came from Zeeland or Zeeuws-Vlanderen. On 28 February 1643, Mr. Nicolaes van Hoorn, from Middelburg, was betrothed with Maria van Hoornbeck. The witnesses were Petronella van Hoornbeck, Jacques van Hoorn, and Catelijntje Sonnius (Nederlandsche Leeuw 37(1919), col. 62, Extracts from the marriage registers of Zeeuwsch-Vlanderen). The couple had a son named Samuel (portrait in R 454 of Montias2). Guillaume van Hoorn, cited in the INTRO, survived his brother Jacques. Constantijn Cruijpenninck who witnessed the inventory was the son of Pieter Cruijpenninck and of Lucretia Coymans, at whose request works of art belonging to Johannes de Renialme were inventoried in 1640 (INVNO 1040). For Lucretia Coymans's inventory, see INVNO 1192. A second inventory of the possessions held in common by Jacques van Hoorn and Sophia van den Branden was taken on 20 July 1642, with appraisals. The paintings were appraised  by Franchois Nieulandt and Daniel Bisschop. The introduction of this inventory was as follows: Inventarisatie ende taxatie van de meubelen ende huijsraet bevonden int sterfhuijs van de E. Jacques van Hoorn za. die juffr. Sophia van den Branden de selffde naegelaten weduwe in gevolge van den huywelijcke voorwaerden met de selve haer overleden man aengegaen aen haer sal behouden. This inventory, like the earlier one, was made at her request and that of Petrus Wittewrongel and of Guilliam van Hoorn as guardians over the children of Jacques van Hoorn. The inventory was made in the presence and under the supervision  of Isack and Constantijn Cruypenninck  (NA 1811, film 2078, fol. 1081 to fol. 1097).  The appraisals and attributions made in the second inventory (as well as any significant changes in subject description) have been added to the entries in the present inventory (NA 1811, film 2078, fol. 1081).","Inventaris van de goederen,  meubelen ende effecten, gout en vergult werck bevonden in den sterfhuijs van d'E. Jacques van Hoorn zal. gedaen ten versoecke van Sofia van den Braende, de selfs weduwe, mitsgaders  d'E. Petrus Wittewrongel dienaer des goddelyckes worts binnen deser stede ende Guillame van Hoorn gestelde voogden over de nagelaten kinderen van de selve Jacques van Hoorn... Postscript: Aldus geinventariseert ten sterfhuijs voors. by my Albert Eggericx notaris publick ter presentie van Isack van Neck en Constantijn Cruijpenninck als getuijgen den 20 juli 1642.",
11,4100,Gemeentearchief Amsterdam,"NA 921, fol. 122 and foll., film 1151",Notarial,1639/05/12,Loosvelt,Amsterdam,8,Nederland,1164 |d ,,1596 |d 1631  |n Rutgers; 1606 |d 1660  |n Loosvelt,1624/03/21,Pui,widow of Cornelis Rutgers,"Loosvelt, Anna van",C. Verbeecq,Merchant (largescale),"Inventory drawn up at the request of Anna van Loosvelt, widow of Cornelis Rutgers, for an unknown purpose.",Mennonite,Op de oude achterburchwal inde Orangie Boom in Amsterdam,"On Cornelis Rutgers and Anna van Loosvelt, see the TEXT of R 312 (INVNO 410) of 9 November 1638. There is considerable but not complete overlap between the two inventories.",Taxatie gedaen vande navolgende schilderijen by Sr. Lucas Luce ende Hendrick Uijlenburgh ten versoecke van Anna van Loosvelt weduwe van Cornelis Rutgers ten overstaen van mij Barent Jansz. Verbeeck openbaer notaris ter presentie van Cornelis Garbrantsz. Roet als getuijge.  Postscript: Aldus gepriseert opten twaelfden maij A-o 1639 ten huijse van de weduwe staende opde oude achterburchwal inde Orangie Boom.,Lucas Luce and Hendrick Uylenburgh
