Title,Alternative Title (accepted),Alternative Title (contested),Artist,Date,Material,Dimensions,Sale # ,Price,Buyer,Current Location,Image Link
"A young lady weighing gold, in a box, by J. van der Meer of Delft, extraordinarily artful and vigorously painted""","Woman Holding a Balance, A Woman Weighing Gold - in a case, painted in an extraordinarily skilful and strong manner",,Vermeer Johannes 1632-1675,1662-1665,oil on canvas,42.5 x 38 cm,1,155 guilders ,"Isaac Rooleeuw, 1650-1710","National Gallery of Art, Washington D.C.",https://www.nga.gov/collection/art-object-page.1236.html
"A maid pouring out milk, extremely well done, by ditto",The Milkmaid,,Vermeer Johannes 1632-1675,1658-1661,oil on canvas,45.5 x 41 cm,2,175 guilders,"Isaac Rooleeuw, 1650-1710","Rijksmuseum, Amsterdam",https://www.rijksmuseum.nl/en/collection/SK-A-2344
"The portrait of Vermeer in a room with various accessories, uncommonly beautiful painted by him",,Artist in His Studio,Vermeer Johannes 1632-1675 attributed to,c. 1666-68,oil on canvas,47 1/4 x 39 3/8 in,3,45 guilders,,"Kunsthistorisches Museum, Vienna",https://www.khm.at/en/objectdb/detail/2574/?offset=0&lv=list
"A young lady playing a guitar, very good by the same",,The Guitar Player,Vermeer Johannes 1632-1675,1671-1672,oil on canvas,19 1/2 x 16 1/2 in.,4,70 guilders ,,"The Iveagh Bequest, Kenwood House,  London",https://www.english-heritage.org.uk/visit/places/kenwood/history-stories-kenwood/history/collections/
"A young lady playing a guitar, very good by the same",,Woman with a Lute,Vermeer Johannes 1632-1675,c. 1662-63,,20 5/8 x 18 1/8 in.;51.4 x 45.7 cm.;oil on canvas,4,70 guilders ,,"Metropolitan Museum of Art, New York ",https://www.metmuseum.org/art/collection/search/437880
"In which a gentleman is washing his hands in a perspectial room with figures, artful and rare, by ditto",,,Vermeer Johannes 1632-1675 attributed to,,,,5,95 guilders,,,
"A young lady paying the clavicen in a room, with a listening gentleman by the same",The Music Lesson,An Interior- With a lady at the virginals and a gentleman listening ,Vermeer Johannes 1632-1675,1662-1664,oil on canvas,73.3 x 64.5 cm,6,80 guilders,,"The Royal Collection, Windsor Castle ",https://www.rct.uk/collection/405346/lady-at-the-virginals-with-a-gentleman?_ga=2.201902039.776645573.1560351591-698046801.1560351591
"A young lady with is being brought a letter by a maid, by ditto",,Mistress and Maid,Vermeer Johannes 1632-1675,1666-1667,oil on canvas,90.2 x 87.7 cm,7,70 guilders ,,"Frick Collection, New York",https://collections.frick.org/objects/274/mistress-and-maid
"A young lady with is being brought a letter by a maid, by ditto",,Love Letter,Vermeer Johannes 1632-1675,c. 1669-70,oil on canvas,17 1/2 x 15 in,7,70 guilders ,,"Rijksmuseum, Amsterdam",http://hdl.handle.net/10934/RM0001.COLLECT.6418
"A drunken sleeping maid at a table, by the same",A Maid Asleep,,Vermeer Johannes 1632-1675,1657,oil on canvas,87.6 x 76.5 cm,8,"62 guilders, (Hale- 16 florins)",,"Metropolitan Museum of Art, New York ",https://www.metmuseum.org/art/collection/search/437878
"A gay company in a room, vigorous and good, by ditto",The Girl with the Wineglass,An Interior with Revellers ,Vermeer Johannes 1632-1675,1659-1660,oil on canvas,78 x 67 cm,9,73 guilders,,"Herzog Anton Ulrich-Museum, Brunswick ",https://www.3landesmuseen.de/Hollaendische-Malerei-17-und-18-Jahrhu.644.0.html
"A gentleman and a young lady making music in a room, by the same",,Girl Interrupted at Her Music,Vermeer Johannes 1632-1675,c. 1660,oil on canvas (lined),15 1/2 x 17 1/2 in.;39.3 x 44.4 cm.;,10,81 guilders,,Frick Collection  New York ,https://collections.frick.org/objects/273/girl-interrupted-at-her-music
"A gentleman and a young lady making music in a room, by the same",,The Music Lesson,Vermeer Johannes 1632-1675,c. 1662-65,oil on canvas,29 x 25 in.,10,81 guilders,,"Royal Collection, Buckingham Palace, London",
"A soldier with a laughing girl, very beautiful, by ditto",Officer and Laughing Girl,,Vermeer Johannes 1632-1675,1655-1660,oil on canvas,50.5 x 46 cm; oil on canvas,11,44 1/2 guilders,,"Frick Collection, New York",https://collections.frick.org/objects/275/officer-and-laughing-girl
"A young lady doing needlework, by the same",The Lacemaker,,Vermeer Johannes 1632-1675,1669-1671,oil on canvas,24.5 x 21 cm,12,28 guilders,,"Musee du Louvre, Paris",https://www.louvre.fr/en/oeuvre-notices/lacemaker
"The Town of Delft in perspective, to be seen from the south, by J. van der Meer of Delft",The View of Delft,,Vermeer Johannes 1632-1675,1660-1661,oil on canvas,98.5 x 117.5 cm,31,200 guilders,,"Mauritshuis, The Hague",https://www.mauritshuis.nl/en/explore/the-collection/artworks/view-of-delft-92/
" No. 32 ""A view of a house standing in Delft, by the same"" or No. 33 ""A view of some house, by ditto""",The Little Street,,Vermeer Johannes 1632-1675,1657-1661,oil on canvas,54.3 x 44 cm,32 or 33,"72 1/2 guilders (No. 32) or 48 guilders (No. 33), ",,"Rijksmuseum, Amsterdam","https://www.rijksmuseum.nl/en/vermeers-the-little-street-discovered/objects#/SK-A-2860,2"
"A writing young lady, very good, by the same",A Lady Writing,,Vermeer Johannes 1632-1675,1665-1666,oil on canvas,45 x 39.9 cm,35,63 guilders,,"National Gallery of Art, Washington D.C.",https://www.nga.gov/collection/art-object-page.46437.html
"A lady adorning herself, very beautiful, by ditto",Woman with a Pearl Necklace,,Vermeer Johannes 1632-1675,1662-1665,oil on canvas,55 x 45 cm,36,30 guilders,,"Gemaldegalerie, Berlin",http://www.smb-digital.de/eMuseumPlus?service=direct/1/ResultLightboxView/result.t1.collection_lightbox.$TspTitleImageLink.link&sp=10&sp=Scollection&sp=SfieldValue&sp=0&sp=0&sp=3&sp=Slightbox_3x4&sp=0&sp=Sdetail&sp=0&sp=F&sp=T&sp=9
"A lady playing the clavicin, by ditto",,A Lady Standing at a Virginal,Vermeer Johannes 1632-1675,c. 1670-72,oil on canvas,20 x 18 in.;51.8 x 45.2 cm.,37,42 florins ,,"National Gallery, London",https://www.nationalgallery.org.uk/paintings/johannes-vermeer-a-young-woman-standing-at-a-virginal
"A lady playing the clavicin, by ditto",,A Lady Seated at a Virginal,Vermeer Johannes 1632-1675,c. 1670-72,oil on canvas,20 x 17 1/2 in.;51.5 x 45.6 cm,37,,,"National Gallery, London ",https://www.nationalgallery.org.uk/paintings/johannes-vermeer-a-young-woman-seated-at-a-virginal
"A lady playing the clavicin, by ditto",,A Young Woman Seated at the Virginals,Vermeer Johannes 1632-1675,c. 1670-1672,oil on canvas,9 7/8 x 7 7/8 in.;24.7 x 19.3 cm.,37,,,"Leiden Gallery, New York ",https://www.theleidencollection.com/artwork/young-woman-seated-at-a-virginal/
"A tronie in an antique dress, uncommonly artful, by the same",Girl with a Pearl Earring,,Vermeer Johannes 1632-1675,1665-1667,oil on canvas,46.5 x 40 cm,38,36 guilders,,"Mauritshuis, The Hague",https://www.mauritshuis.nl/en/explore/the-collection/artworks/girl-with-a-pearl-earring-670/
"A tronie in an antique dress, uncommonly artful, by the same",Girl with a Red Hat,,Vermeer Johannes 1632-1675,c. 1665-1667,oil on panel,9 1/2 x 7 1/8 in.;23.2 x 18.1 cm.,38,36 guilders ,,"National Gallery of Art, Washington D.C.",https://www.nga.gov/collection/art-object-page.60.html
"A tronie in an antique dress, uncommonly artful, by the same",Study of a Young Woman,,Vermeer Johannes 1632-1675,c. 1666-67,oil on canvas,17 3/4 x 15 3/4 in.,38,36 guilders,,"Metropolitan Museum of Art, New York",https://www.metmuseum.org/art/collection/search/437879
Another ditto by Vermeer,Girl with a Pearl Earring,,Vermeer Johannes 1632-1675,1665-1667,oil on canvas,46.5 x 40 cm,39,17 guilders,,"Mauritshuis, The Hague",https://www.mauritshuis.nl/en/explore/the-collection/artworks/girl-with-a-pearl-earring-670/
Another ditto by Vermeer,Girl with a Red Hat,,Vermeer Johannes 1632-1675,c. 1665-1667,oil on panel,9 1/2 x 7 1/8 in.;23.2 x 18.1 cm.,39,17 guilders,,"National Gallery of Art, Washington D.C.",https://www.nga.gov/collection/art-object-page.60.html
Another ditto by Vermeer,Study of a Young Woman,,Vermeer Johannes 1632-1675,c. 1666-67,oil on canvas,17 3/4 x 15 3/4 in.,39,17 guilders,,"Metropolitan Museum of Art, New York",https://www.metmuseum.org/art/collection/search/437879
A pendant by the same ,Girl with a Pearl Earring,,Vermeer Johannes 1632-1675,1665-1667,oil on canvas,46.5 x 40 cm;,40,17 guilders,,"Mauritshuis, The Hague",https://www.mauritshuis.nl/en/explore/the-collection/artworks/girl-with-a-pearl-earring-670/
A pendant by the same ,Girl with a Red Hat,,Vermeer Johannes 1632-1675,c. 1665-1667,oil on panel,9 1/2 x 7 1/8 in.;23.2 x 18.1 cm.,40,17 guilders,,"National Gallery of Art, Washington D.C.",https://www.nga.gov/collection/art-object-page.60.html
A pendant by the same ,Study of a Young Woman,Head of a Person in Antique Costume,Vermeer Johannes 1632-1675,c. 1666-67,oil on canvas,17 3/4 x 15 3/4 in.,40,17 guilders,,"Metropolitan Museum of Art, New York",https://www.metmuseum.org/art/collection/search/437879
