Artist,Title,Add. Title,Image Link,Personal Name,Provenance,5901,Date,Size and Material,Sources
"Boursse, Esaias 1631-1672",Boy blowing Soap-Bubbles,,https://commons.wikimedia.org/wiki/File:E._Boursse_Bellenblazers.gif,"Boursse, Esaias 1631-1672; Vermeer Johannes 1632-1675","Sale of Roos, Amsterdam, 1820 to Kerkhof (74 florins); Sale Ch. Haas, Amsterdam, 1824; Suermondt-Ludwig Museum, Aachen",,,31.5 x 27.2 in,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 567 (45); Groot, Hofstede de., A Catalogue Raisonne of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol. 1. 1907, ""Johannes Vermeer,"" p. 607; Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1913, p. 364; Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1937, p. 218; Information from the Frick Art Reference Library Photoarchive"
"Braij, Jan de 1627-1697 attributed to",Boy with White Shirt,,https://www.mutualart.com/Artwork/Portrait-of-a-boy-in-a-white-shirt/B31CCD9A4F84009D,"Braij, Jan de 1627-1697; Vermeer Johannes 1632-1675","Private collection A. Reyer; Art dealer Harry B. Yotnakparian, New York City",,third quarter 17th century ,51 x 39.4 cm; oil on panel,https://rkd.nl/explore/images/119981
Vermeer  Johannes  1632-1675  manner of,Bust Portrait of a Young Girl,Bust Portrait of a Young Girl,https://emuseum.hydecollection.org/objects/76/girl-with-blue-bow?ctx=25e40990-9faa-4ad0-bdf4-01712d39ff9c&idx=0,Vermeer  Johannes  1632-1675,Ch. E. Carruthers  Somerset ; Sale  Christie's  London  March 23  1924 lot 62 ; A.F. Reyre  London ; Mrs. Louis F. Hyde  Glens Falls  New York ;bequeathed by her to Hyde Collection  Glens Falls  New York.,Hyde Collection  Glens Falls  New York  United States  private.,,15 3/4 x 13 3/4 in.;oil on canvas,"Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1937, p. 162 (37); Vries, A.D. de Jan Vermeer de Delft. 1939. p. 85 (20); Vries, A.D. de Jan Vermeer de Delft. 1948. p. XXII (36); Catalogue, Exhibition, ""Five Centuries of Dutch Art,"" Art Association, Montreal, March 9 - April 9, 1944, p. 86"
Hooch Pieter de 1629-1684,Card Players,A Game of Cards; Two soldiers playing cards,https://www.wikidata.org/wiki/Q20010850#/media/File:Pieter_de_Hooch_-_Soldiers_Playing_Cards_-_WGA11685.jpg,Hooch Pieter de 1629-1684 ; Vermeer Johannes 1632-1675,"Sale Amsterdam, November 24, 1806 (300 florins); Sale Christie's, London, 1819 (115 pounds : 10 sterling, Woodburn); Sale Van Cuyck, Paris, February 7, 1866, cat. no. 47 (1060 francs, Auguiot); Auguoit, Paris, March 1, 1875, cat. no. 12",,,20 x 18 in; oil on panel,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 551 (12); Harvard, Henry. Van der Meer de Delft. 1888. p. 36 (13);  Groot, Hofstede de., A Catalogue Raisonne of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol. 1. 1907, ""Johannes Vermeer,"" p. 548-49 (264), 606; Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1913, p. 363; Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1937, p. 216"
"Meegeren Han van, 1889-1947",Christ and the Adulteress ,Christ with the Woman Taken in Adultery,https://www.museumdefundatie.nl/en/explore-the-collection/object/?pagina=0&id=0&vervaardigers=&techniek=&datums=&query=van+meegeren,"Meegeren Han van, 1889-1947; Vermeer Johannes 1632-1675","This must be the phony Vermeer which Van Meegeren passed off on Goring; given by (Hermann) Goring to a servant-maid; Alois Miedl September 1943 to Hermann Goering, barter exchange 137 paintings",,,37 3/4 x 34 5/8 in,"Coremans, ""Van Meegeren's Faked Vermeers and De Hooghs,"" 1949, p. 5, 9, 12, 13, 16, 18, 19, 22, 28-29, 37; Wallach, ""De Echte van Meegeren,"" 1947, p. 97-98; Godley, ""The Master Forger,"" 1950, p. 171-72, 180-96; The Master Forger: the story of Han van Meegeren. New York: W. Funk, 1950, p. 171-72, 180-96.  Dolnick, Edward.  The Forger's Spell, 2008.  p. 84."
"Meegeren Han van, 1889-1947",Christ at Emmaus,,https://www.boijmans.nl/en/collection/artworks/101464/the-men-at-emmaus,"Meegeren Han van, 1889-1947; Vermeer Johannes 1632-1675","Planted in the attic of an old French family by the artist, to create the provenance of a Vermeer, in 1937; Art market, The Netherlands (as Vermeer) in 1937; D.A. Hoogendijk and Company (as Vermeer) in 1938; sold by them in 1938 to the Boymans Museum, Rotterdam, later renamed the Boymans-Van Beuningen Museum (as Vermeer, until the deception was discovered in 1945).",,c. 1937,46 x 50 3/4 in.; oil on canvas,"Vries, A.D. de Jan Vermeer de Delft. 1939. p. 86 (2); Vries, A.D. de Jan Vermeer de Delft. 1948. p. XXIII (40)"
Hooch Pieter de 1629-1684 attributed to,Concert Party of Four Persons,,no image available,Hooch Pieter de 1629-1684; Vermeer Johannes 1632-1675,"Collection of Kurt, Berlin, 1861",,,36 x 48 in; oil on canvas,"Thore-Burger, Theophile. ""Gazette des beaux-arts."" Nov. 1, 1866. p. 553 (24); Harvard, Henry. Van der Meer de Delft. 1888. p. 37 (27); Groot, Hofstede de., A Catalogue Raisonne of the works of the Most Eminent Dutch Painters of the Seventeenth Century, vol. 1. 1907, ""Johannes Vermeer,"" p. 519-20 (163), 606; Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1913, p. 364; Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1937, p. 217"
Vermeer Johannes 1632-1675 attributed to,Conversation Piece,,no image available,Vermeer Johannes 1632-1675,"Private Collection, the Netherlands",,,24 3/4 x 20 in,"Hale, Philip, Jan Vermeer of Delft: with Reproducations of all of Vermeer's Known Paintings, 1937, p. 213"
"Blommendael, Reyer Jacobsz. Van, 1628-1675","Diana and her nymphs, resting after the hunt",,https://rkd.nl/en/explore/images/record?query=Reyer+Jacobsz.+van+Blommendael&start=5,"Blommendael, Reyer Jacobsz. Van, 1628-1675; Vermeer Johannes 1632-1675","Art dealer William B. Paterson, London; Sackville Gallery, London; Collection MJ Spiller, England; Art dealer Walter Paech, Amsterdam; Art dealer H. van der Ploeg, The Hague / Amsterdam; Art dealer H. van der Ploeg, The Hague / Amsterdam; EA Smulders private collection of Sir John's Polder, Hong Kong 1998-11-10",,1662-1675,122 1/2 x 162 2/5 cm; oil on canvas," Hale, Philip, Jan Vermeer of Delft: with Reproductions of all of Vermeer's Known Paintings, 1937, p. 220; https://rkd.nl/explore/images/47616"
"Natus Johannes, 1658-1662",Drinking and Smoking Group at a Table at a Yard,,https://rkd.nl/en/explore/images/record?query=Johannes+Natus&start=2,"Natus, Johannes, 1658-1662; Vermeer Johannes 1632-1675","Private collection, Geneva in 1941; Art dealer Johny Van Haeften, London",,1658-1662,83.3 x 74.7 cm; oil on canvas,https://rkd.nl/explore/images/63057
